GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,education,handedness,duration_s
2025-03-18_16:16:29,2025-03-18_18:16:29,2020-02-18_14:53:12,https://www.testable.org/experiment/3628/918641/start,0.99,"315770255","29","",Master/Doctorate,left-handed,686.157

rowNo,type,condition1,trialNo,stim1,key,ITI,stimFormat,trialText,keyboard,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
"78",test,no_noise,"42",B8_13_pro_R_HS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",519495,"1",1912,"1"
"79",test,no_noise,"43",M_4_23_R_Pro,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",521938,"3",1944,"1"
"80",test,no_noise,"44",J_8_13_r_pro_dark,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",526307,"1",3871,"1"
"81",test,no_noise,"45",Z_7_Front_Bot,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",530875,"2",4069,"1"
"82",test,no_noise,"46",D4_23_profile_R,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",536651,"1",5279,"1"
"83",test,no_noise,"47",N_6_23_L_Pro,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",540790,"1",3639,"1"
"84",test,no_noise,"48",B5_halflit_frontal,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",563381,"3",22094,"1"
"86",test,noise,"49",Z_12_Front_Noisy,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",587715,"2",3333,"1"
"87",test,noise,"50",M_11_23_N_R_Pro,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",593339,"2",5124,"0"
"88",test,noise,"51",D10_Noisy_13_Profile_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",597839,"1",4000,"1"
"89",test,noise,"52",J_12_Frontal_HS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",600986,"3",2648,"0"
"90",test,noise,"53",J_11_23_pro_R,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",605606,"2",4123,"0"
"91",test,noise,"54",N_9_Front_LS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",608998,"1",2894,"1"
"92",test,noise,"55",B12_Noisy_frontal_HS,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.16",611483,"2",1988,"1"
"93",test,noise,"56",M_12_Front_N_HS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",617198,"1",5216,"1"
"94",test,noise,"57",D12_Noisy_Frontal_HS,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",621419,"2",3721,"1"
"95",test,noise,"58",Z_11_23_Pro_R,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",625662,"2",3744,"1"
"96",test,noise,"59",N_10_13_L_Pro_dark,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",629782,"2",3623,"1"
"97",test,noise,"60",B9_Noisy_frontal_LS,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",633395,"2",3115,"1"
"98",test,noise,"61",M_9_Front_N_LS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",636139,"1",2247,"1"
"99",test,noise,"62",J_9_N_Frontal_50,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",641111,"1",4473,"0"
"100",test,noise,"63",N_12_Front_Noisy,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",643391,"1",1783,"1"
"101",test,noise,"64",B10_Noisy_13_pro_L,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",646230,"2",2340,"1"
"102",test,noise,"65",N_11_23_R_Pro,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",649979,"3",3252,"1"
"103",test,noise,"66",J_10_13_pro_l,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",653928,"1",3451,"1"
"104",test,noise,"67",Z_9_Front_Noisy,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",657406,"3",2980,"1"
"105",test,noise,"68",D9_Noisy_Frontal_LS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",664963,"3",7058,"0"
"106",test,noise,"69",M_10_N_13_L_Pro_D,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",667363,"1",1900,"1"
"107",test,noise,"70",Z_10_13_Pro_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",673751,"1",5889,"1"
"108",test,noise,"71",B11_Noise_23_pro_R,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",677942,"1",3694,"1"
"109",test,noise,"72",D11_Noisy_23_profile_R,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",682298,"2",3859,"0"
